Date;LV ActivePower;Wind Speed;Theoretical_Power_Curve;Wind Direction
01 01 2018 00:00;380.0477905;5.3113360;416.3289078;259.9949036
01 01 2018 00:10;453.7691956;5.6721668;519.9175111;268.6411133
01 01 2018 00:20;306.3765869;5.2160368;390.9000158;272.5647888
01 01 2018 00:30;419.6459045;5.6596742;516.1275690;271.2580872
01 01 2018 00:40;380.6506958;5.5779409;491.7029720;265.6742859
01 01 2018 00:50;402.3919983;5.6040521;499.4363850;264.5786133
01 01 2018 01:00;447.6057129;5.7930079;557.3723633;266.1636047
01 01 2018 01:10;387.2421875;5.3060498;414.8981788;257.9494934
01 01 2018 01:20;463.6512146;5.5846291;493.6776521;253.4806976
01 01 2018 01:30;439.7257080;5.5232282;475.7067828;258.7237854
01 01 2018 01:40;498.1817017;5.7241158;535.8413970;251.8509979
01 01 2018 01:50;526.8162231;5.9341989;603.0140765;265.5046997
01 01 2018 02:00;710.5872803;6.5474138;824.6625136;274.2329102
01 01 2018 02:10;655.1942749;6.1997461;693.4726411;266.7331848
01 01 2018 02:20;754.7625122;6.5053830;808.0981385;266.7604065
01 01 2018 02:30;790.1732788;6.6341162;859.4590208;270.4931946
01 01 2018 02:40;742.9852905;6.3789129;759.4345366;266.5932922
01 01 2018 02:50;748.2296143;6.4466529;785.2810099;265.5718079
01 01 2018 03:00;736.6478271;6.4150829;773.1728635;261.1586914
01 01 2018 03:10;787.2462158;6.4375310;781.7712157;257.5602112
01 01 2018 03:20;722.8640747;6.2200241;700.7646999;255.9264984
01 01 2018 03:30;935.0333862;6.8980260;970.7366269;250.0128937
01 01 2018 03:40;1220.6090088;7.6097112;1315.0489279;255.9857025
01 01 2018 03:50;1053.7719727;7.2883558;1151.2657436;255.4445953
01 01 2018 04:00;1493.8079834;7.9431019;1497.5837235;256.4074097
01 01 2018 04:10;1724.4880371;8.3761616;1752.1996620;252.4125977
01 01 2018 04:20;1636.9350586;8.2369576;1668.4707069;247.9794006
01 01 2018 04:30;1385.4880371;7.8795910;1461.8157908;238.6096039
01 01 2018 04:40;1098.9320068;7.1013761;1062.2850344;245.0955963
01 01 2018 04:50;1021.4580078;6.9553070;995.9958546;245.4102020
01 01 2018 05:00;1164.8929443;7.0982981;1060.8597122;235.2279053
01 01 2018 05:10;1073.3320313;6.9536309;995.2509608;242.8726959
01 01 2018 05:20;1165.3079834;7.2495780;1132.4168613;244.8356934
01 01 2018 05:30;1177.9899902;7.2946911;1154.3653047;242.4815979
01 01 2018 05:40;1170.5360107;7.3763700;1194.8430985;247.9772034
01 01 2018 05:50;1145.5360107;7.4485540;1231.4307060;249.6829987
01 01 2018 06:00;1114.0269775;7.2392521;1127.4332055;248.4010010
01 01 2018 06:10;1153.1850586;7.3292112;1171.3550436;244.6217041
01 01 2018 06:20;1125.3310547;7.1397052;1080.1390847;244.6318054
01 01 2018 06:30;1228.7320557;7.4742289;1244.6335344;245.7859955
01 01 2018 06:40;1021.7930298;7.0331740;1030.9926858;248.6522064
01 01 2018 06:50;957.3781738;6.8864551;965.6833344;244.6116943
01 01 2018 07:00;909.8878174;6.8878212;966.2791049;235.8482971
01 01 2018 07:10;1000.9539795;7.2164321;1116.4718990;232.8426971
01 01 2018 07:20;1024.4780273;7.0685978;1047.1702306;229.9331970
01 01 2018 07:30;1009.5339966;6.9382958;988.4519407;230.1367035
01 01 2018 07:40;899.4929810;6.5366879;820.4166586;234.9338074
01 01 2018 07:50;725.1101074;6.1806250;686.6369422;232.8379059
01 01 2018 08:00;585.2593994;5.8168259;564.9276595;240.3287964
01 01 2018 08:10;443.9139099;5.4501510;454.7735871;238.1262970
01 01 2018 08:20;565.2537842;5.8181491;565.3490932;235.8002930
01 01 2018 08:30;644.0377808;6.1302729;668.8235693;224.9586945
01 01 2018 08:40;712.0588989;6.3470778;747.4606734;216.8038940
01 01 2018 08:50;737.3947754;6.3474369;747.5951091;205.7852936
01 01 2018 09:00;725.8681030;6.1943688;691.5463343;199.8484955
01 01 2018 09:10;408.9974060;4.9771981;330.4176304;207.9978027
01 01 2018 09:20;628.4368286;5.9591112;611.2838365;210.9548950
01 01 2018 09:30;716.1005859;6.2113762;697.6494744;215.6940002
01 01 2018 09:40;711.4956055;6.1114531;662.2351630;220.8426056
01 01 2018 09:50;838.1519165;6.4563222;789.0114224;237.0653076
01 01 2018 10:00;881.0620728;6.6666579;872.7396259;235.6674957
01 01 2018 10:10;663.7031250;6.1628790;680.3278917;229.3296967
01 01 2018 10:20;578.2615967;6.0131679;628.4425608;234.9006042
01 01 2018 10:30;465.6200867;5.5612030;486.7795676;230.4228058
01 01 2018 10:40;311.0509033;4.9607320;326.4110254;229.5375061
01 01 2018 10:50;230.0554962;4.6038752;244.3162442;231.7984924
01 01 2018 11:00;233.9906006;4.5545340;233.6327805;234.1056061
01 01 2018 11:10;175.5921936;4.2636290;173.5736631;228.7767029
01 01 2018 11:20;118.1331024;3.8941391;108.5712211;227.9389954
01 01 2018 11:30;142.2024994;4.0387611;130.2299896;224.4649963
01 01 2018 11:40;212.5661926;4.5056510;223.1967841;224.9505005
01 01 2018 11:50;222.6100006;4.5433979;231.2425073;229.1275940
01 01 2018 12:00;194.1811981;4.3237610;185.5984796;227.0399933
01 01 2018 12:10;82.6407471;3.6344371;68.5028198;230.3146057
01 01 2018 12:20;75.8952179;3.7055120;78.3961654;233.9532928
01 01 2018 12:30;41.9472389;3.2539680;29.2869556;233.0659027
01 01 2018 12:40;118.5345993;3.7751369;88.8713653;227.7534943
01 01 2018 12:50;250.7559052;4.6935010;264.1192574;229.8966064
01 01 2018 13:00;346.8644104;5.0029392;336.7219982;235.2794952
01 01 2018 13:10;416.4179077;5.3647499;430.9210890;235.5852966
01 01 2018 13:20;331.9414978;5.0161819;339.9849402;229.9429016
01 01 2018 13:30;583.4799194;5.9704080;615.0556308;235.6952972
01 01 2018 13:40;776.5526733;6.6555209;868.1808449;241.4573975
01 01 2018 13:50;752.7263794;6.6009040;846.0294095;242.7821045
01 01 2018 14:00;589.0731201;5.9813781;618.7314427;234.9844055
01 01 2018 14:10;1109.1280518;7.4245939;1219.1997867;235.1472931
01 01 2018 14:20;1482.4599609;8.1864519;1638.5089092;238.4790955
01 01 2018 14:30;1523.4300537;8.2749300;1691.1470390;237.0332031
01 01 2018 14:40;1572.1700439;8.4492025;1796.7630901;238.3323975
01 01 2018 14:50;1698.9399414;8.5759745;1875.0471973;235.6414032
01 01 2018 15:00;1616.8459473;8.2822599;1695.5387770;236.4613953
01 01 2018 15:10;1796.8239746;8.7345524;1974.4758003;234.3547974
01 01 2018 15:20;1885.8609619;8.7641039;1993.1707119;231.0016022
01 01 2018 15:30;2327.5119629;9.6694317;2568.8271286;227.6000977
01 01 2018 15:40;2499.1621094;10.1410904;2876.7536161;227.7315979
01 01 2018 15:50;2820.5129395;10.7724199;3186.0298832;225.2763977
01 01 2018 16:00;2812.2790527;10.6475201;3133.2592242;224.6806030
01 01 2018 16:10;2530.4470215;9.9826612;2781.2740408;225.5195007
01 01 2018 16:20;2399.1210938;9.8743858;2711.4924584;227.2738037
01 01 2018 16:30;2335.5878906;9.7854795;2651.3410093;229.2554932
01 01 2018 16:40;2341.1330566;9.6142321;2527.9454511;230.7368927
01 01 2018 16:50;2391.8479004;9.6185045;2531.1479399;229.4907990
01 01 2018 17:00;2118.3898926;9.0986834;2207.7928199;223.9609070
01 01 2018 17:10;1866.8459473;8.6774254;1938.4786012;219.7937012
01 01 2018 17:20;1865.6190186;8.7748985;2000.0117162;219.0449066
01 01 2018 17:30;1862.4479980;8.6899815;1946.3739553;215.3352051
01 01 2018 17:40;1884.1190186;8.6310740;1909.4162557;216.2799988
01 01 2018 17:50;1855.7769775;8.6145697;1899.1007338;214.5290985
01 01 2018 18:00;1958.1330566;9.2188435;2285.9170315;212.1799011
01 01 2018 18:10;2228.2429199;10.0495195;2822.5094898;210.3085938
01 01 2018 18:20;2529.2910156;10.3187103;2974.8667960;210.5881042
01 01 2018 18:30;2788.2570801;10.7667599;3183.7224597;207.4813995
01 01 2018 18:40;2692.9299316;10.5582504;3093.1106722;208.5518951
01 01 2018 18:50;2535.3530273;10.2507200;2938.3946069;208.0106964
01 01 2018 19:00;2584.6650391;10.4647703;3048.8238328;205.7528992
01 01 2018 19:10;2960.1831055;11.3907804;3393.6455412;200.6542969
01 01 2018 19:20;3062.9780273;11.5655403;3437.5971346;198.1242981
01 01 2018 19:30;3024.3920898;11.2802496;3362.6687418;198.5381927
01 01 2018 19:40;3187.9729004;11.3367796;3378.8262708;200.4904022
01 01 2018 19:50;3387.2280273;11.8046398;3488.2484912;199.2469025
01 01 2018 20:00;3209.0180664;11.3635397;3386.2444858;199.8054962
01 01 2018 20:10;3272.6650391;11.6325903;3452.8811078;198.2677002
01 01 2018 20:20;3209.6989746;11.4447603;3407.8678761;195.6320038
01 01 2018 20:30;3134.5180664;11.2719002;3360.2257748;196.6611023
01 01 2018 20:40;2977.8249512;11.0590096;3292.8809249;196.5158997
01 01 2018 20:50;3431.7729492;12.1037798;3537.1737063;198.2570038
01 01 2018 21:00;3604.2099609;12.9281397;3597.4694675;201.5825958
01 01 2018 21:10;3601.3278809;13.3194199;3600.0000000;201.9421997
01 01 2018 21:20;3604.4260254;13.1215200;3600.0000000;203.5077972
01 01 2018 21:30;3604.3911133;13.2354498;3600.0000000;202.6929932
01 01 2018 21:40;3604.3378906;13.2358999;3600.0000000;202.9362946
01 01 2018 21:50;3554.6879883;13.0295601;3600.0000000;201.2539063
01 01 2018 22:00;3479.4079590;12.9639397;3597.7946352;201.3408966
01 01 2018 22:10;3472.3330078;12.9029503;3597.1310599;200.9795074
01 01 2018 22:20;3491.5109863;12.7663403;3593.7049420;200.9960022
01 01 2018 22:30;3536.9890137;12.8983498;3597.0594486;200.5142059
01 01 2018 22:40;3528.6589355;12.7421103;3592.8143130;202.8952942
01 01 2018 22:50;3581.5400391;12.3182602;3562.9900948;202.8410950
01 01 2018 23:00;3570.0791016;12.4188099;3572.5561429;202.4118042
01 01 2018 23:10;3597.6040039;12.5429897;3582.2046428;201.6253052
01 01 2018 23:20;3441.0258789;12.6759996;3589.9456340;199.3220978
01 01 2018 23:30;3373.9699707;13.0030499;3600.0000000;197.1307068
01 01 2018 23:40;3369.8129883;13.2976704;3600.0000000;196.4936066
01 01 2018 23:50;3375.9030762;12.8440599;3595.9847916;195.3150024
02 01 2018 00:00;3377.6499023;12.7053900;3591.3004611;196.0422058
02 01 2018 00:10;3374.4230957;12.1833601;3547.6276551;197.7438965
02 01 2018 00:20;3401.0810547;12.2051401;3550.3072224;196.8088074
02 01 2018 00:30;3469.4121094;12.6018801;3585.9591814;193.8157043
02 01 2018 00:40;3511.8090820;12.8445501;3595.9963936;194.3466034
02 01 2018 00:50;3536.7590332;12.4970598;3578.9115547;196.0092010
02 01 2018 01:00;3467.8081055;12.0960703;3536.1051395;197.9526978
02 01 2018 01:10;3460.6770020;12.1961203;3549.2069171;201.3303070
02 01 2018 01:20;3589.4431152;12.5503502;3582.7025540;201.1882019
02 01 2018 01:30;3527.7189941;12.6156702;3586.7629669;202.6235962
02 01 2018 01:40;3561.2670898;13.1027803;3600.0000000;201.7666016
02 01 2018 01:50;3604.0681152;13.6877499;3600.0000000;199.0195007
02 01 2018 02:00;3604.1760254;14.1024199;3600.0000000;196.2552032
02 01 2018 02:10;3593.2009277;14.3933096;3600.0000000;195.8798981
02 01 2018 02:20;3493.8210449;14.0795498;3600.0000000;197.6403046
02 01 2018 02:30;3470.7019043;14.0544004;3600.0000000;197.2447968
02 01 2018 02:40;3436.6101074;13.5124702;3600.0000000;195.9954071
02 01 2018 02:50;3401.4550781;13.7100496;3600.0000000;192.4197998
02 01 2018 03:00;3395.2329102;13.7423296;3600.0000000;191.0137024
02 01 2018 03:10;3417.5039063;13.1418600;3600.0000000;192.2046967
02 01 2018 03:20;3465.1088867;12.8677101;3596.5050601;192.7716980
02 01 2018 03:30;3467.4179688;12.8472700;3596.0601384;192.4705048
02 01 2018 03:40;3522.4069824;12.7321100;3592.4216664;192.5679016
02 01 2018 03:50;3510.1079102;12.5162001;3580.3229409;194.9992065
02 01 2018 04:00;3513.8449707;12.5986605;3585.7674142;196.0422974
02 01 2018 04:10;3564.0080566;13.2303200;3600.0000000;196.4087982
02 01 2018 04:20;3475.2780762;13.0946703;3600.0000000;198.5249939
02 01 2018 04:30;3561.9909668;12.9168797;3597.3294072;198.0101013
02 01 2018 04:40;3521.5549316;12.6335497;3587.7627411;197.6634979
02 01 2018 04:50;3493.6079102;12.8256702;3595.5244571;201.1040955
02 01 2018 05:00;3555.3049316;12.5416203;3582.1110958;200.3634033
02 01 2018 05:10;3377.1279297;12.1049700;3537.3377865;196.9826965
02 01 2018 05:20;3479.6269531;12.3625002;3567.3947066;199.7989960
